time_ms,T_IR_Pd0um,T_IR_Pd10um,T_IR_Pd20um,T_IR_Pd40um,T_IR_Pd60um,T_IR_Pd100um
88.0762,115.4438,115.4701,115.4993,115.5680,115.6652,115.8768
88.3768,115.4355,115.4621,115.4911,115.5599,115.6570,115.8688
88.6774,115.4275,115.4539,115.4831,115.5518,115.6494,115.8609
88.9780,115.4194,115.4459,115.4750,115.5440,115.6414,115.8537
89.2786,115.4113,115.4379,115.4672,115.5361,115.6334,115.8462
89.5792,115.4035,115.4300,115.4593,115.5281,115.6257,115.8385
89.8798,115.3955,115.4222,115.4513,115.5205,115.6182,115.8309
90.1804,115.3878,115.4142,115.4437,115.5129,115.6106,115.8239
90.4810,115.3801,115.4068,115.4360,115.5052,115.6026,115.8166
90.7816,115.3724,115.3990,115.4284,115.4974,115.5955,115.8091
91.0822,115.3648,115.3914,115.4207,115.4901,115.5880,115.8019
91.3828,115.3571,115.3840,115.4134,115.4826,115.5806,115.7951
91.6834,115.3498,115.3765,115.4059,115.4751,115.5730,115.7880
91.9840,115.3423,115.3691,115.3984,115.4678,115.5661,115.7805
92.2846,115.3349,115.3616,115.3912,115.4607,115.5588,115.7738
92.5852,115.3277,115.3546,115.3841,115.4535,115.5514,115.7672
92.8858,115.3204,115.3472,115.3769,115.4461,115.5444,115.7602
93.1864,115.3133,115.3400,115.3695,115.4393,115.5375,115.7529
93.4870,115.3060,115.3329,115.3627,115.4322,115.5305,115.7466
93.7876,115.2991,115.3259,115.3556,115.4252,115.5232,115.7400
94.0882,115.2920,115.3189,115.3485,115.4181,115.5167,115.7333
94.3888,115.2849,115.3119,115.3417,115.4115,115.5099,115.7262
94.6894,115.2782,115.3052,115.3349,115.4046,115.5030,115.7202
94.9900,115.2712,115.2983,115.3281,115.3976,115.4961,115.7139
95.2906,115.2645,115.2914,115.3212,115.3911,115.4898,115.7071
95.5912,115.2577,115.2849,115.3148,115.3845,115.4831,115.7005
95.8918,115.2512,115.2782,115.3080,115.3778,115.4762,115.6948
96.1924,115.2445,115.2716,115.3013,115.3711,115.4699,115.6884
96.4930,115.2378,115.2649,115.2949,115.3650,115.4637,115.6819
96.7936,115.2315,115.2587,115.2885,115.3585,115.4572,115.6756
97.0942,115.2248,115.2520,115.2820,115.3519,115.4506,115.6701
97.3948,115.2184,115.2456,115.2755,115.3456,115.4446,115.6639
97.6954,115.2121,115.2394,115.2695,115.3395,115.4384,115.6574
97.9960,115.2059,115.2331,115.2631,115.3333,115.4320,115.6516
98.2966,115.1996,115.2268,115.2568,115.3268,115.4257,115.6462
98.5972,115.1933,115.2206,115.2508,115.3210,115.4201,115.6401
98.8978,115.1873,115.2147,115.2447,115.3149,115.4139,115.6337
99.1984,115.1811,115.2085,115.2386,115.3087,115.4077,115.6283
99.4990,115.1750,115.2023,115.2325,115.3027,115.4019,115.6230
99.7996,115.1692,115.1966,115.2268,115.2970,115.3962,115.6170
100.1002,115.1632,115.1905,115.2208,115.2911,115.3902,115.6108
100.4008,115.1573,115.1846,115.2148,115.2850,115.3841,115.6058
100.7014,115.1513,115.1787,115.2091,115.2795,115.3788,115.6004
101.0020,115.1457,115.1731,115.2034,115.2738,115.3730,115.5946
101.3026,115.1398,115.1673,115.1976,115.2680,115.3672,115.5887
101.6032,115.1340,115.1614,115.1917,115.2623,115.3615,115.5840
101.9038,115.1285,115.1560,115.1864,115.2570,115.3563,115.5786
102.2044,115.1228,115.1502,115.1806,115.2513,115.3506,115.5729
102.5050,115.1172,115.1447,115.1751,115.2456,115.3449,115.5674
102.8056,115.1117,115.1392,115.1696,115.2403,115.3396,115.5629
103.1062,115.1063,115.1338,115.1643,115.2350,115.3344,115.5574
103.4068,115.1008,115.1283,115.1588,115.2296,115.3290,115.5519
103.7074,115.0953,115.1228,115.1532,115.2240,115.3234,115.5468
104.0080,115.0901,115.1177,115.1482,115.2191,115.3185,115.5422
104.3086,115.0847,115.1122,115.1428,115.2138,115.3132,115.5371
104.6092,115.0794,115.1070,115.1375,115.2084,115.3079,115.5316
104.9098,115.0742,115.1018,115.1324,115.2033,115.3026,115.5269
105.2104,115.0691,115.0967,115.1273,115.1984,115.2980,115.5224
105.5110,115.0640,115.0915,115.1222,115.1933,115.2927,115.5174
105.8116,115.0587,115.0864,115.1170,115.1880,115.2876,115.5121
106.1122,115.0539,115.0816,115.1122,115.1833,115.2827,115.5077
106.4128,115.0487,115.0765,115.1071,115.1783,115.2780,115.5031
106.7134,115.0437,115.0715,115.1022,115.1733,115.2730,115.4982
107.0140,115.0389,115.0666,115.0973,115.1684,115.2679,115.4931
107.3146,115.0340,115.0618,115.0925,115.1638,115.2635,115.4890
107.6152,115.0292,115.0568,115.0877,115.1589,115.2586,115.4844
107.9158,115.0242,115.0520,115.0827,115.1540,115.2537,115.4796
108.2164,115.0196,115.0475,115.0783,115.1495,115.2489,115.4748
108.5170,115.0148,115.0426,115.0734,115.1448,115.2446,115.4709
108.8176,115.0101,115.0379,115.0688,115.1402,115.2398,115.4662
109.1182,115.0055,115.0334,115.0641,115.1354,115.2350,115.4616
109.4188,115.0008,115.0287,115.0597,115.1311,115.2307,115.4570
109.7194,114.9962,115.0242,115.0550,115.1265,115.2262,115.4532
110.0200,114.9917,115.0195,115.0504,115.1219,115.2217,115.4487
110.3206,114.9873,115.0152,115.0462,115.1176,115.2171,115.4441
110.6212,114.9827,115.0106,115.0416,115.1133,115.2130,115.4400
110.9218,114.9782,115.0062,115.0372,115.1088,115.2084,115.4362
111.2224,114.9740,115.0019,115.0329,115.1043,115.2041,115.4318
111.5230,114.9695,114.9975,115.0286,115.1003,115.1998,115.4274
111.8236,114.9653,114.9932,115.0243,115.0959,115.1958,115.4235
112.1242,114.9609,114.9888,115.0199,115.0916,115.1914,115.4197
112.4248,114.9567,114.9848,115.0159,115.0874,115.1871,115.4154
112.7255,114.9525,114.9805,115.0116,115.0834,115.1831,115.4111
113.0261,114.9483,114.9762,115.0074,115.0792,115.1790,115.4075
113.3267,114.9443,114.9723,115.0033,115.0750,115.1749,115.4035
113.6273,114.9401,114.9681,114.9993,115.0711,115.1707,115.3995
113.9279,114.9360,114.9640,114.9952,115.0670,115.1669,115.3953
114.2285,114.9320,114.9600,114.9911,115.0630,115.1628,115.3919
114.5291,114.9280,114.9561,114.9873,115.0590,115.1588,115.3879
114.8297,114.9240,114.9520,114.9833,115.0553,115.1548,115.3841
115.1303,114.9200,114.9481,114.9793,115.0513,115.1511,115.3802
115.4309,114.9162,114.9443,114.9755,115.0474,115.1472,115.3769
115.7315,114.9122,114.9403,114.9717,115.0436,115.1432,115.3729
116.0321,114.9084,114.9365,114.9678,115.0398,115.1396,115.3692
116.3327,114.9046,114.9326,114.9640,115.0360,115.1358,115.3655
